filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price,promotion
1764926216817_744.jpg,2025-12-05T10:16:56.817000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,,299.99,Limited time deal
1764929209547_772.jpg,2025-12-05T11:06:49.547000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,,299.99,Limited time deal
1764929276257_776.jpg,2025-12-05T11:07:56.257000,4f3ea42b-1405-491f-ad94-8146aee9ac45,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,1,,299.99,Limited time deal
1765025177493_845.jpg,2025-12-06T13:46:17.493000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,,299.99,Limited time deal
1765135207841_883.jpg,2025-12-07T20:20:07.841000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,,299.99,Limited time deal
1765205289403_952.jpg,2025-12-08T15:48:09.403000,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020,1,,299.99,-13% Offre à durée limitée; #1 Meilleure vente
1765205631950_971.jpg,2025-12-08T15:53:51.950000,08496736-c5ac-4552-a056-396818154013,samsung SM-S908U,31 (S) 12,1080,2106,1,,299.99,Limited time deal; -13%
1765225941925_1049.jpg,2025-12-08T21:32:21.925000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,,299.99,Limited time deal (-13%)
1765265034684_1084.jpg,2025-12-09T08:23:54.684000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,,299.99,Limited time deal (-13%)
1765314802291_1121.jpg,2025-12-09T22:13:22.291000,a3fc7f13-95cc-4518-b307-dc6da9557a02,samsung SM-G970F,31 (S) 12,1080,2020,1,,299.99,Offre à durée limitée
