filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price,promotion
1764349867505_708.jpg,2025-11-28T18:11:07.505000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Double,86.0,Offre Black Friday
1764837946839_710.jpg,2025-12-04T09:45:46.839000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Double — Économique + Petit-déjeuner,119.0,
1764837946839_710.jpg,2025-12-04T09:45:46.839000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Chambre Double — Flexible,144.0,
1764843514793_719.jpg,2025-12-04T11:18:34.793000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Double,109.0,
1764843514793_719.jpg,2025-12-04T11:18:34.793000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Double ou Lits Jumeaux Exécutive,,
1764928465780_754.jpg,2025-12-05T10:54:25.780000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Double,109.0,
1764928465780_754.jpg,2025-12-05T10:54:25.780000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Chambre Double ou Lits Jumeaux Exécutive,,
1764929457109_783.jpg,2025-12-05T11:10:57.109000,4f3ea42b-1405-491f-ad94-8146aee9ac45,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,1,Chambre Double,109.0,
1764929457109_783.jpg,2025-12-05T11:10:57.109000,4f3ea42b-1405-491f-ad94-8146aee9ac45,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,2,Chambre Double ou Lits Jumeaux Exécutive,,
1764945931144_806.jpg,2025-12-05T15:45:31.144000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,Chambre Double,109.0,
1764945931144_806.jpg,2025-12-05T15:45:31.144000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Chambre Double,132.0,
1765024900183_828.jpg,2025-12-06T13:41:40.183000,1f3b7cb8-df82-4259-85d7-ded487a42a5e,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Chambre Double,109.0,
