filename,time,participant_id,device_model,android_version,screen_width,screen_height,trip_date,departure,destination,departure_time,destination_time,price
1762616876695_333.jpg,2025-11-08T16:47:56.695000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux,09:20,17:15,29.98
1762616876695_333.jpg,2025-11-08T16:47:56.695000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux (Floirac Dravemont),09:20,17:00,29.98
1762616876695_333.jpg,2025-11-08T16:47:56.695000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux,23:25,07:35,35.98
1762617128846_334.jpg,2025-11-08T16:52:08.846000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux,09:20,17:15,29.98
1762617128846_334.jpg,2025-11-08T16:52:08.846000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux (Floirac Dravemont),09:20,17:00,29.98
1762617128846_334.jpg,2025-11-08T16:52:08.846000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux,23:25,07:35,35.98
1762617387884_335.jpg,2025-11-08T16:56:27.884000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux,09:20,17:15,29.98
1762617387884_335.jpg,2025-11-08T16:56:27.884000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux (Floirac Dravemont),09:20,17:00,29.98
1762617387884_335.jpg,2025-11-08T16:56:27.884000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux,23:25,07:35,35.98
1763128112868_343.jpg,2025-11-14T14:48:32.868000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux (Floirac Dravemont),09:20,17:00,32.98
1763128112868_343.jpg,2025-11-14T14:48:32.868000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux,09:20,17:15,32.98
1763128112868_343.jpg,2025-11-14T14:48:32.868000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,02-13,Lyon (Gerland),Bordeaux,23:25,07:35,35.98
